City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,torres,-29.3353,-49.7269,77.86,75,56,7.94,BR,Mon Dec 11 10:54:55 2023
62,constantia,44.1833,28.65,34.7,69,100,6.49,RO,Mon Dec 11 10:54:06 2023
63,ushuaia,-54.8,-68.3,49.66,46,0,5.75,AR,Mon Dec 11 10:58:33 2023
64,pointe-noire,-4.7761,11.8635,87.87,70,20,11.5,CG,Mon Dec 11 10:58:33 2023
65,fort bragg,35.139,-79.006,46.81,65,20,14.97,US,Mon Dec 11 10:58:34 2023
66,ar ruways,24.1103,52.7306,72.59,59,100,4.27,AE,Mon Dec 11 10:58:34 2023
67,lincheng,19.9078,109.6858,73.06,86,5,5.44,CN,Mon Dec 11 10:58:34 2023
68,amherst,41.3978,-82.2224,34.88,72,100,11.5,US,Mon Dec 11 10:58:34 2023
69,margaret river,-33.95,115.0667,60.71,73,0,7.45,AU,Mon Dec 11 10:58:34 2023
70,morogoro,-6.8167,37.6667,82.58,65,40,0.0,TZ,Mon Dec 11 10:58:34 2023
71,bethel,41.3712,-73.414,41.36,86,100,5.75,US,Mon Dec 11 10:58:34 2023
72,yellowknife,62.456,-114.3525,-7.08,84,0,8.05,CA,Mon Dec 11 10:58:35 2023
73,guelendeng,10.9176,15.5501,84.51,14,62,8.75,TD,Mon Dec 11 10:58:35 2023
74,port alfred,-33.5906,26.891,73.18,81,8,4.0,ZA,Mon Dec 11 10:58:35 2023
75,wailua homesteads,22.0669,-159.378,75.99,88,100,11.5,US,Mon Dec 11 10:58:35 2023
76,longyearbyen,78.2186,15.6401,22.84,68,75,19.57,SJ,Mon Dec 11 10:58:35 2023
77,east london,-33.0153,27.9116,72.54,78,75,17.27,ZA,Mon Dec 11 10:58:35 2023
78,alofi,-19.0595,-169.9187,76.89,100,100,6.91,NU,Mon Dec 11 10:58:35 2023
79,vilyuchinsk,52.9306,158.4028,23.27,81,15,10.38,RU,Mon Dec 11 10:58:36 2023
80,klyuchi,52.2667,79.1667,-9.09,85,92,13.22,RU,Mon Dec 11 10:58:36 2023
81,olonkinbyen,70.9221,-8.7187,31.26,98,100,19.13,SJ,Mon Dec 11 10:58:36 2023
82,new norfolk,-42.7826,147.0587,51.71,98,87,2.3,AU,Mon Dec 11 10:58:36 2023
83,castillos,-34.1667,-53.8333,74.12,60,11,11.16,UY,Mon Dec 11 10:58:36 2023
84,timaru,-44.4,171.25,50.97,79,80,6.64,NZ,Mon Dec 11 10:58:36 2023
85,nabire,-3.3667,135.4833,77.36,92,100,2.28,ID,Mon Dec 11 10:58:36 2023
86,xuanzhou,30.9525,118.7553,39.0,91,100,8.03,CN,Mon Dec 11 10:58:36 2023
87,mejit,10.2753,170.8646,80.65,71,50,20.04,MH,Mon Dec 11 10:58:37 2023
88,aykhal,66.0,111.5,-15.16,98,100,4.34,RU,Mon Dec 11 10:58:37 2023
89,udachny,66.4167,112.4,-13.52,96,100,10.25,RU,Mon Dec 11 10:58:37 2023
90,princeville,45.7668,-61.2985,61.75,90,100,18.41,CA,Mon Dec 11 10:58:37 2023
91,teguise,29.0605,-13.564,68.22,53,0,12.66,ES,Mon Dec 11 10:58:37 2023
92,atafu village,-8.5421,-172.5159,82.4,82,100,25.79,TK,Mon Dec 11 10:58:37 2023
93,tangalle,6.024,80.7911,78.96,90,65,2.44,LK,Mon Dec 11 10:58:38 2023
94,saki,8.6667,3.3833,91.47,12,3,6.38,NG,Mon Dec 11 10:58:38 2023
95,aasiaat,68.7098,-52.8699,28.45,89,100,15.05,GL,Mon Dec 11 10:58:38 2023
96,hawaiian paradise park,19.5933,-154.9731,72.03,98,100,4.61,US,Mon Dec 11 10:58:38 2023
97,lebu,-37.6167,-73.65,60.01,73,86,8.57,CL,Mon Dec 11 10:58:38 2023
98,isafjordur,66.0755,-23.124,28.44,74,100,6.91,IS,Mon Dec 11 10:58:38 2023
99,halikko,60.4,23.0833,24.31,91,100,5.99,FI,Mon Dec 11 10:58:39 2023
100,hadibu,12.65,54.0333,77.27,64,9,12.71,YE,Mon Dec 11 10:58:39 2023
101,papatowai,-46.5619,169.4708,46.87,75,22,18.79,NZ,Mon Dec 11 10:58:40 2023
102,qrendi,35.8347,14.4583,63.1,67,20,8.05,MT,Mon Dec 11 10:58:40 2023
103,pimentel,-6.8367,-79.9342,75.49,69,20,12.66,PE,Mon Dec 11 10:58:40 2023
104,qujing,25.4833,103.7833,47.8,71,0,3.44,CN,Mon Dec 11 10:58:41 2023
105,la'ie,21.6477,-157.9253,76.1,87,35,4.0,US,Mon Dec 11 10:58:41 2023
106,west island,-12.1568,96.8225,78.78,73,4,9.22,CC,Mon Dec 11 10:53:55 2023
